City,Districts,Date,Latitude,Longitude,Key,DHI,DNI,GHI,RELATIVE_HUMIDITY,WIND_SPEED_10m,NDVI
Amritsar,Amritsar I Tahsil,2024-05-01,31.50807532,74.60601728,31.50807532-74.60601728,98.13043478,293.6956522,320.6956522,47.72608696,2.747826087,0.2561629153
Amritsar,Amritsar I Tahsil,2024-05-02,31.50807532,74.60601728,31.50807532-74.60601728,93.66666667,280.5,313.5833333,41.52083333,2.733333333,0.2561629153
Amritsar,Amritsar I Tahsil,2024-05-03,31.50807532,74.60601728,31.50807532-74.60601728,151,26.75,171.3333333,39.89166667,2.0375,0.2561629153
Amritsar,Amritsar I Tahsil,2024-05-04,31.50807532,74.60601728,31.50807532-74.60601728,123.75,202.7083333,280.9583333,35.24583333,3.341666667,0.2561629153
Amritsar,Amritsar I Tahsil,2024-05-05,31.50807532,74.60601728,31.50807532-74.60601728,100.125,248.0416667,299,41.04166667,3.170833333,0.2561629153
Amritsar,Amritsar I Tahsil,2024-05-06,31.50807532,74.60601728,31.50807532-74.60601728,82.875,314.1666667,318.5,37.35833333,2.45,0.2414746544
Amritsar,Amritsar I Tahsil,2024-05-07,31.50807532,74.60601728,31.50807532-74.60601728,67.125,360.3333333,330.9583333,33.9875,2.1375,0.2414746544
Amritsar,Amritsar I Tahsil,2024-05-08,31.50807532,74.60601728,31.50807532-74.60601728,88.875,313.7083333,321.375,35.2375,2.033333333,0.2414746544
Amritsar,Amritsar I Tahsil,2024-05-09,31.50807532,74.60601728,31.50807532-74.60601728,125.4166667,204.0833333,284.75,47.02916667,2.916666667,0.2414746544
Amritsar,Amritsar I Tahsil,2024-05-10,31.50807532,74.60601728,31.50807532-74.60601728,143.7083333,117.2083333,240.9583333,50.7625,2.591666667,0.2414746544
Amritsar,Amritsar I Tahsil,2024-05-11,31.50807532,74.60601728,31.50807532-74.60601728,118.4583333,155.375,242.2916667,49.32916667,2.366666667,0.2324310037
Amritsar,Amritsar I Tahsil,2024-05-12,31.50807532,74.60601728,31.50807532-74.60601728,149.4583333,85.91666667,217.3333333,54.77083333,2.875,0.2324310037
Amritsar,Amritsar I Tahsil,2024-05-13,31.50807532,74.60601728,31.50807532-74.60601728,100.8333333,282.1666667,316.5,41.44583333,2.520833333,0.2324310037
