Latitude,Longitude,Date,Coordinates,LST
31.50807532,74.60601728,2024-05-01,"74.6060172803223,31.5080753172238",34.99
31.51521254,74.59125331,2024-05-01,"74.5912533054331,31.5152125441471",33.51
31.51632067,74.9449792,2024-05-01,"74.9449792000053,31.5163206665763",34.81
31.51656763,74.62681448,2024-05-01,"74.6268144761166,31.5165676348256",34.39
31.51696165,74.99423843,2024-05-01,"74.9942384324684,31.5169616459203",34.29
31.52415483,74.59386307,2024-05-01,"74.5938630650359,31.5241548349742",32.95
31.52867663,74.92355003,2024-05-01,"74.9235500322011,31.5286766301543",33.93
31.53079658,75.07399203,2024-05-01,"75.0739920322983,31.5307965753927",29.85
31.5312711,75.09265543,2024-05-01,"75.0926554322389,31.5312711024107",29.45
31.5435759,74.8747404,2024-05-01,"74.8747403983554,31.543575901431",33.47
31.5439769,74.84860982,2024-05-01,"74.8486098171856,31.5439769044132",32.47
31.54427183,74.95232099,2024-05-01,"74.9523209917435,31.5442718346744",33.75
31.55252382,74.95269094,2024-05-01,"74.9526909357276,31.5525238180311",33.75
31.55356335,74.91381366,2024-05-01,"74.9138136587048,31.5535633509122",32.93
31.55363907,74.68920453,2024-05-01,"74.6892045276418,31.5536390650356",32.43
31.55423809,74.71928672,2024-05-01,"74.7192867247455,31.5542380934284",32.49
31.55577505,74.62800712,2024-05-01,"74.6280071219191,31.5557750473105",31.41
31.55617752,74.67707282,2024-05-01,"74.6770728210532,31.5561775205517",31.91
31.55699489,74.62396037,2024-05-01,"74.6239603730585,31.5569948890914",30.87
31.55808304,74.96577771,2024-05-01,"74.9657777103793,31.5580830375753",33.67
31.55942442,74.9720495,2024-05-01,"74.972049498981,31.5594244189269",33.67
31.55950931,75.08153183,2024-05-01,"75.0815318318945,31.5595093108258",30.27
31.56125826,74.92069112,2024-05-01,"74.9206911170202,31.5612582588347",32.93
31.5624733,75.0258073,2024-05-01,"75.0258072996174,31.5624730046659",32.45
31.56490415,74.71193161,2024-05-01,"74.7119316086805,31.5649041495941",31.97
31.56509246,74.61611407,2024-05-01,"74.6161140744037,31.5650924583996",30.95
31.56794622,74.72778529,2024-05-01,"74.727785289134,31.5679462225676",31.99
31.56826409,74.68575319,2024-05-01,"74.685753185576,31.5682640888929",32.01
31.5683042,74.83850559,2024-05-01,"74.8385055929378,31.5683042045365",30.41
31.57085477,74.94019705,2024-05-01,"74.9401970478674,31.5708547658204",33.01
31.5740862,74.60900359,2024-05-01,"74.6090035910903,31.5740862038415",31.43
31.57416403,74.70843082,2024-05-01,"74.7084308210539,31.5741640252982",31.77
31.57670644,74.74284798,2024-05-01,"74.7428479810942,31.5767064384208",32.13
31.57759874,75.01116903,2024-05-01,"75.0111690306761,31.5775987402888",31.59
31.57795673,74.78875918,2024-05-01,"74.7887591810391,31.5779567326597",30.17
